key,code,title,crn,no,total,schd,stat,isCancelled,meets,mpkey,instr,srcdb
1,ACCT 270,Foundations of Accounting and Valuation,12603,01,1,H,A,,MW 8:45-10a,2260,R. Antle,201803
2,AFAM 016,South African Writing after Apartheid,13816,01,1,L,A,,TTh 11:35a-12:50p,2021,S. Newell,201803
3,AFAM 160,The Rise and Fall of Atlantic Slavery,10391,01,1,H,A,,TTh 10:30-11:20a,2019,E. Rugemer,201803
4,AFAM 170,Sickness and Health in African American History,13369,01,1,H,A,,MW 1:30-2:20p,2059,C. Roberts,201803
5,AFAM 213,Medicine and Race in the Slave Trade,11294,01,1,L,A,,W 3:30-5:20p,2076,C. Roberts,201803
6,AFAM 216,Family Narratives/Cultural Shifts,10395,01,1,L,A,,M 1:30-3:20p; Su 7-9p,2209,T. Harris,201803
7,AFAM 241,Traditional and Contemporary Musics of Sub-Saharan Africa,12248,01,1,H,A,,TTh 11:35a-12:50p,2021,M. Veal,201803
8,AFAM 286,Atlanta: Black Media and Poetics,14273,01,1,L,A,,W 3:30-5:20p,2076,R. Bradley,201803
9,AFAM 305,African American Autobiography,10398,01,1,L,A,,MW 11:35a-12:50p,2052,S. Mahurin,201803
10,AFAM 313,Embodying Story,11887,01,1,N,A,,TTh 1:30-3:20p,2164,R. Robinson,201803
11,AFAM 346,Black Atlantic Photography,11399,01,1,L,A,,W 2:30-4:20p,2039,K. Mercer,201803
12,AFAM 358,Ethnography of Policing and Race,12640,01,1,L,C,1,HTBA,1,Staff,201803
13,AFAM 363,Blackness and Mysticism,14314,02,1,L,A,,T 1:30-3:20p,2067,Staff,201803
14,AFAM 390,Ethnography of the African American Community,12072,01,1,L,A,,M 1:30-3:20p,2058,E. Anderson,201803
15,AFAM 428,Dance and Black Popular Culture,11894,01,1,L,A,,M 3:30-5:20p,2099,B. Seibert,201803
16,AFAM 440,Intercultural Literary Hoaxes,11148,01,1,L,A,,T 1:30-3:20p,2067,C. Miller,201803
17,AFAM 449,Challenges to Realism in Contemporary African Fiction,13246,01,1,L,A,,T 9:25-11:15a,2072,S. Newell,201803
18,AFAM 471,Independent Study: African American Studies,10399,01,1,F,A,,HTBA,1,A. Reed,201803
19,AFAM 480,Senior Colloquium: African American Studies,10400,01,1,Y,A,,M 9:25-11:15a,2192,C. Feimster,201803
30,AFST 015,South African Writing after Apartheid,10940,01,1,L,A,,TTh 11:35a-12:50p,2021,S. Newell,201803
31,AFST 184,The Rise and Fall of Atlantic Slavery,10392,01,1,H,A,,TTh 10:30-11:20a,2019,E. Rugemer,201803
32,AFST 238,Introduction to Third World Studies,11061,01,1,H,A,,TTh 11:35a-12:50p,2021,G. Okihiro,201803
33,AFST 262,Traditional and Contemporary Musics of Sub-Saharan Africa,12249,01,1,H,A,,TTh 11:35a-12:50p,2021,M. Veal,201803
34,AFST 306,Social Enterprise in Developing Economies II,10409,01,1,L,A,,HTBA,1,R. Hopkins,201803
35,AFST 324,Nelson Mandela,13677,01,1,L,A,,W 3:30-5:20p,2076,J. Steinberg,201803
36,AFST 333,African Encounters with Colonialism,11335,01,1,H,A,,MW 11:35a-12:25p,2029,D. Magaziner,201803
37,AFST 366,"Bureaucracy in Africa: Revolution, Genocide, and Apartheid",13681,01,1,L,A,,Th 1:30-3:20p,2095,J. Steinberg,201803
