key,gmods,col,stat,mpkey,code,section,crn,title,yc_attrs,ci_attrs,description,hours,regnotes,rp_attr,instructordetail_html,meeting_html,final_exam,resources,last_updated,srcdb
1,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T",YC,A,2260,ACCT 270,01,12603,Foundations of Accounting and Valuation,,,"<p>Modern accounting practices and their use in distinguishing value creation from value redistribution. Basic determinants of value and the techniques used to assess it; the creation of value through the production and delivery of goods or services; the conversion of that value into cash flows; basic financial statements, balance sheets, income statements, and cash flow statements, and the accounting mechanics with which they are built. Undergraduate enrollment limited to 50. Juniors and seniors only.</p>",1,,,"<div class=""instructor-detail"">Rick Antle</div>","<div class=""meet"">MW 8:45am-10am</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
2,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2021,AFAM 016,01,13816,South African Writing after Apartheid,This course can be applied towards the following Yale College distributional requirements: <ul><li>Humanities and Arts</li><li>Writing</li></ul>,,"<p>An introduction to creative writing published in South Africa from the end of Apartheid in 1994 to the present. Close readings of contemporary fiction with additional material drawn from popular culture, including films, magazines, and music.</p>
<p class=""prerequisites"">Enrollment limited to first-year students. Preregistration required; see under First-Year Seminar Program.</p>",1,,,"<div class=""instructor-detail"">Stephanie Newell</div>","<div class=""meet"">TTh 11:35am-12:50pm<span class=""meet-room-201803""> in LC 213</span></div>",HTBA,"<a href=""#"" role=""button"" class=""btn"" id=""course_eval_button""data-crn=""13816"" data-srcdb=""201803"" disabled >COURSE EVALUATIONS</a><a title=""Opens in a new window."" role=""button"" class=""btn"" href=""https://yale.instructure.com/courses/39776/assignments/syllabus"" target=""_blank"">SYLLABUS</a><form name=""orderBooks"" class=""book-form"" method=""post"" action=""https://secure.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-999-_-1-_-A"" target=""_blank""><input type=""hidden"" name=""catalogId"" value=""10001"" /><input type=""hidden"" name=""storeId"" value=""16556"" /><input type=""hidden"" name=""termMapping"" value=""N"" /><input type=""hidden"" name=""courseXml"" value='<?xml version=""1.0"" encoding=""UTF-8""?><textbookorder><courses><course dept=""AFAM"" num=""016"" sect=""1"" term=""F18"" /></courses></textbookorder>'/><input type=""submit"" value=""BUY BOOKS"" role=""button"" class=""btn"" ></form>",Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
3,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2019,AFAM 160,01,10391,The Rise and Fall of Atlantic Slavery,This course can be applied towards the <i>Humanities and Arts</i> Yale College distributional requirement.,,"<p>The history of peoples of African descent throughout the Americas, from the first African American societies of the sixteenth century through the century-long process of emancipation.</p>",1,,,"<div class=""instructor-detail"">Edward Rugemer</div>","<div class=""meet"">TTh 10:30am-11:20am</div>
<div class=""meet"">HTBA</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
4,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2059,AFAM 170,01,13369,Sickness and Health in African American History,This course can be applied towards the <i>Humanities and Arts</i> Yale College distributional requirement.,,"<p>A history of American medicine through the African American experience covering the period of slavery through #BlackLivesMatter. Oriented around the complex dynamics of medical abuse and medical resistance, key themes include medicine and slavery; gender and reproduction; medical experimentation and ethics; the rise of racial science; lynching and vigilante violence; segregation and public health; African-descended approaches to health and healing; the rise of the African American medical profession; and black health activism from slavery to #BlackLivesMatter.</p>",1,,,"<div class=""instructor-detail"">Carolyn Roberts</div>","<div class=""meet"">MW 1:30pm-2:20pm</div>
<div class=""meet"">HTBA</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
5,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T",YC,A,2076,AFAM 213,01,11294,Medicine and Race in the Slave Trade,This course can be applied towards the <i>Humanities and Arts</i> Yale College distributional requirement.,,<p>Examination of the interconnected histories of medicine and race in the slave trade. Topics include the medical geography of the slave trade from slave prisons in West Africa to slave ships; slave trade drugs and forced drug consumption; mental and physical illnesses and their treatments; gender and the body; British and West African medicine and medical knowledge in the slave trade; eighteenth-century theories of racial difference and disease; medical violence and medical ethics.</p>,1,,,"<div class=""instructor-detail"">Carolyn Roberts</div>","<div class=""meet"">W 3:30pm-5:20pm<span class=""meet-room-201803""> in WALL81 201</span></div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
6,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2209,AFAM 216,01,10395,Family Narratives/Cultural Shifts,This course can be applied towards the <i>Humanities and Arts</i> Yale College distributional requirement.,,"<p>This course looks at films that are redefining ideas around family and family narratives in relation to larger social movements. We focus on personal films by filmmakers who consider themselves artists, activists, or agents of change but are united in their use of the nonfiction format to speak truth to power. In different ways, these films use media to build community and build family and ultimately, to build family albums and archives that future generations can use to build their own practices. Just as the family album seeks to unite people across time, space, and difference, the films and texts explored in this course are also journeys that culminate in linkages, helping us understand nuances of identity while illuminating personal relationships to larger cultural, social, and historical movements.</p>",1,,,"<div class=""instructor-detail"">Thomas Harris</div>","<div class=""meet"">M 1:30pm-3:20pm</div>
<div class=""meet"">Su 7pm-9pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
7,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2021,AFAM 241,01,12248,Traditional and Contemporary Musics of Sub-Saharan Africa,This course can be applied towards the <i>Writing</i> Yale College distributional requirement.,,"<p>A survey of the traditional and popular musics of black Africa, organized both by nation, such as Ghana, and by region, such as Senegambia. Introduction to the fundamental musical principles, materials, and performance contexts of African music.</p>",1,,,"<div class=""instructor-detail"">Michael Veal</div>","<div class=""meet"">TTh 11:35am-12:50pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
8,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2076,AFAM 286,01,14273,Atlanta: Black Media and Poetics,This course can be applied towards the <i>Humanities and Arts</i> Yale College distributional requirement.,,"<p>This course takes four modes of black cultural production as its object of inquiry:  television, contemporary art, literature, and poetry. Specific focus is on 20th century black cultural production, making use of archives relevant to this historical period. The course begins with a critical viewing and analysis of the acclaimed television show, <em>Atlanta.</em> We spend the first month viewing the show (which will have moved through at most, three seasons), during which students are introduced to key introductory texts on black culture and learn how to read and think about black cultural forms. This unit includes readings by Stuart Hall, James Baldwin, Richard Iton, Brent Hayes Edwards, Daphne Brooks, Tavia Nyong’o, Fred Moten, Paul Gilroy, and others. The course then turn its focus toward the literary and poetic traditions that inform the distinctly southern black vernacular history and aesthetic <em>Atlanta</em> draws from, and has envisioned and crafted for its televisual form. Readings include literary texts and critical prose by: Richard Wright, Zora Neale Hurston, and James Baldwin, as well as from contemporary poets and writers: Claudia Rankine, Fred Moten, Natasha Tretheway, Terrance Hayes, Simone White, Nicole Sealy, Kevin Young, Jericho Brown.</p>",1,,,"<div class=""instructor-detail"">Rizvana Bradley</div>","<div class=""meet"">W 3:30pm-5:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
9,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T",YC,A,2052,AFAM 305,01,10398,African American Autobiography,This course can be applied towards the <i>Humanities and Arts</i> Yale College distributional requirement.,,"<p>Examination of African American autobiography, from slave narratives to contemporary memoirs, and how the genre approaches the project (and problem) of knowing, through reading, the relationships of fellow humans. Chronological consideration of a range of narratives and their representations of race, of space, of migration, of violence, of self, and of other, as well as the historical circumstances that inform these representations.</p>
<p class=""prerequisites"">Prerequisite: one college-level literature course.</p>",1,,,"<div class=""instructor-detail"">Sarah Mahurin</div>","<div class=""meet"">MW 11:35am-12:50pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
10,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T",YC,A,2164,AFAM 313,01,11887,Embodying Story,This course can be applied towards the <i>Humanities and Arts</i> Yale College distributional requirement.,,"<p>The intersection of storytelling and movement as seen through historical case studies, cross-disciplinary inquiry, and studio practice. Drawing on eclectic source materials from different artistic disciplines, ranging from the repertory of Alvin Ailey to journalism, architectural studies, cartoon animation, and creative processes, students develop the critical, creative, and technical skills through which to tell their own stories in movement. No prior dance experience necessary.</p>",1,,,"<div class=""instructor-detail"">Renee Robinson</div>","<div class=""meet"">TTh 1:30pm-3:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
